sentence,potential_action,potential_sub_atmos,potential_scene
a potted plant and a tv,"{'displaying a colorful test pattern', 'flying around it', 'displaying a static image', 'displaying a graph', 'being hit by colorful confetti', 'sitting on a couch', 'displaying a test pattern', 'talking to the camera', 'being hit by a shower of confetti', 'displaying a colorful rainbow', 'standing in front of the camera and speaking to the viewers'}","{'creating a festive and lively atmosphere', 'appears to be an old television set that is not functioning properly', 'appears to be in a dark room', 'appears to be an old-fashioned TV set', 'test pattern for a color television', 'problem with the signal', 'news broadcast', 'no signal', 'creating a festive atmosphere', 'a 3D animation', 'an advertisement for a television show'}","{'a television set', 'a room with a television', 'a television screen'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a tv and a laptop,"{'a room', 'sitting on a couch', 'There is a guitar on the couch', 'sitting on the couch', 'talking to the camera'}","{'appears to be in a dark room', 'dimly lit room', 'appears to be a living room'}","{'a room with a television', 'a room with a couch and a TV', 'a room with a TV and a couch'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a laptop and a remote,"{'sitting at a table with a laptop and a notebook', 'playing a video game', 'sitting on his lap', 'controlling something', 'working in a classroom setting', 'holding a device in their hand', 'working together on a laptop', 'working in a kitchen', 'discussing something related to a project', 'pressing a button on it', 'holding a small device in their hand', 'pressing buttons on it', 'working in an office', 'working on something'}","{'appears to be a remote control of some kind', 'enjoying their time together', 'appear to be enjoying their time together', 'appear to be focused on their work', 'enjoying their work', 'seem to be focused on a task', 'using a remote control', 'appears to be focused on her task', 'seem to be discussing something related to a project'}","{'using a remote control', 'working together on a laptop', 'working at a table with a laptop and a notebook'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a remote and a keyboard,"{'being set on fire', 'playing a video game', 'controlling something', 'using a keyboard and a mouse', 'holding a device in their hand', 'pressing a button on it', 'holding a small device in their hand', 'pressing buttons on it', 'playing a game on the computer'}","{'using a remote control', 'a close-up view of a keyboard that is on fire', 'appears to be a remote control of some kind', 'appears to be playing a game on the computer'}","{'using a remote control', 'a computer keyboard', 'using a keyboard and a mouse to control a computer'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a keyboard and a cell phone,"{'being set on fire', 'controlling the music being played', 'working on a keyboard', 'sitting at a desk', 'playing a game on a computer', 'playing a game', 'working on a computer', 'playing a game on a computer screen', 'playing a musical instrument', 'using a keyboard to play music', 'working on a machine'}","{'appears to be a DJ', 'a close-up view of a keyboard that is on fire', 'appears to be a musician', 'appears to be focused on the task at hand'}","{'a computer keyboard', 'working on a keyboard', 'using a keyboard'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a cell phone and a book,"{'a woman wearing pink lingerie lying on a bed', 'opened to reveal a painting', 'holding a phone in her hand', 'flipped open to reveal its pages', 'riding in a car', 'using a cell phone to make a call', 'laughing and smiling', 'holding a phone in their hand', 'holding a phone', 'typing on it', 'texting someone', 'looking at the screen', 'scrolling through a social media app', 'riding a bus', 'opened and placed on a table', 'scrolling through the screen', 'using a cell phone while sitting on a chair', 'a cartoon character sitting in a chair', 'sitting at a table'}","{'sitting around a table', 'enjoying the moment', 'demonstration of how to use the phone’s camera', 'commercial advertisement', 'appears to be texting someone', 'taking a selfie', 'sending or receiving a text message', 'appears to be a novel that has been read', 'a social media post', 'sitting at a table'}","{'sitting around a table', 'a book', 'using a phone', 'using a cell phone'}"
sentence,potential_action,potential_sub_atmos,potential_scene
a book and a clock,"{'shows the time', 'spinning', 'moving', 'displays the time', 'spinning around', 'hanging on a wall', 'hanging on the wall'}","{'in the dark', 'a close-up view of a clock', 'a cartoon-like representation of a clock', 'a pink background with a round object in the center', 'the sound of the clock ticking', 'appears to be a digital clock that is spinning in a circular motion', 'appears to be spinning rapidly', 'appears to be a digital clock that is spinning'}","{'a clock on a wall', 'a pink background with a round object in the center', 'a room with a clock', 'a clock'}"
sentence,potential_action,potential_sub_atmos,potential_scene
"A lightning striking atop of eiffel tower, dark clouds in the sky","{'illuminated with lights', 'flashing in the background', 'illuminating the dark clouds', 'shining brightly', 'appears to be', 'flashing in the distance', 'sailing on the water'}","{'peaceful and serene', 'a close-up view of a lightning bolt in the dark sky', 'during the storm', 'a stormy sky', 'a stunning sight to behold'}","{'a lightning bolt in the dark sky', 'a beautiful view of the Eiffel Tower at night', 'a stormy sky with lightning'}"
sentence,potential_action,potential_sub_atmos,potential_scene
"a bicycle on the left of a car, front view","{'parked on the side of the road', 'riding a bicycle', 'riding the bicycle', 'focuses on the chain and gears of the bicycle', 'posing in front of a bicycle'}","{'enjoying the ride', 'highlighting the intricate details of the mechanism', 'appears to be a sunny day', 'appears to be happy', 'having fun', 'rainy day', 'enjoying themselves'}","{'a close-up view of a bicycle', 'posing in front of a bicycle', 'a bicycle parked on the side of the road'}"
sentence,potential_action,potential_sub_atmos,potential_scene
"A modern art museum, with colorful paintings","{'standing in front of them', 'on display in a glass case', 'gathered in a large room with a statue in the center', 'accompanied by a guide', 'walking through a museum exhibit', 'on display', 'admiring the sculpture', 'filled with various toys and models of ships', 'talking about the paintings', 'hanging on a wall', 'displaying various artifacts and memorabilia related to jazz music', 'featuring a collection of musical instruments, photographs, and other items'}","{'the artist who created them', 'museum exhibit showcasing various types of watches', 'walking through a museum exhibit', 'museum exhibit showcasing different types of sailing vessels', 'explaining the history and significance of the artifacts displayed in the exhibit', 'the well-lit room', 'museum exhibit showcasing various historical images', 'the history and evolution of jazz music'}","{'a room filled with paintings and sculptures', 'a room with paintings in a museum', 'a museum exhibit', 'an art museum'}"
